point,doc
2,별 필요없는 대사들과 억지 분위기연출에 쓸대없이 과한 사운드효과에 액션은 무슨빨리감기처럼 호다닥 액션. 쌩뚱맞은 인물배경에. 왠 버스납치. 왠 중국어쩌고(특히).. 그놈에 본사. 그정도 힘이있는 변종들이 총은뭐하러들 갈겨대는지. 진구 배우님한테 처음 실망. 뉴페이스 어린배우 보는맛에 보면 보고.... 따분 지루함
1,지루하였다.전달할려는 내용은 뭔지 알겠는데너무 뻔하다.그냥 폰으로 롤토체스라도 하는게 더 재밌을꺼같았음.
10,
1,마녀2  주인공이 마녀 잡으러 다니는 서은수임..마녀3을 위한 스토리 썰  푸는 정도..
10,"마녀1보다는 못하지만, 충분히 재미있었음"
4,주인공을 왜변경해서 영화를 이렇게 찍었나 ~~아~~1편이 10배잼 있는듯 ㅡㅡ
6,1편과는 다르게 의외로 코믹 요소가 많고 볼만은 했으나 1편을 너무 의식했는지 좀 과한 부분이 많았음..
10,
3,3편 만들기위해  잠시 동안 쉬엄가는 스토리  근데  스토리가  안맞고  대체 왜? 왜? 대체 무슨 내용이야? 2편이 아니야  그냥  마녀 인기 때문에  어쩔수 없이   만들어 놓고 보자는 영화 ...그냥  1편에서 그만하지 ㅠㅠ
6,박은빈 좋아하는 배우인데 이 영화와는 안 어울리네요.액션씬은 볼만하나 영어 대사 많이 넣은 것에 비해 유머 코드나 재미가 떨어집니다.더욱이 욕이 너무 난무해서 보기 불편하네요.
9,제주의 애월을 예쁘게 잘 담아냈습니다. 이천희와 조연배우들의 연기가 좋네요~~!잔잔한 애월의 파도 같은 영화.
6,"여배우들 욕설이 너무 어색함. 그리고 적이건 주인공이건 어벤저스 토르보다도 더 강한듯..액션은 안 보이고 걍 쳤다하면 날라가 버리고;; 1편과 비교하면 스토리도, 액션도 너무 아쉬움."
8,코로나 끝나고 1편 덕분에 천만찍었다
2,안나가고 좌석에 앉아있던 내 시간이 아깝다...
2,"마녀1이랑 똑같은 감독이라고는 믿을수 없게 연출이 cg투성이다. 신시아는 2시간동안 대사도 거의없고 그냥 무표정하게 걸어만다니면 적들이 알아서 쓰러지는 기적을 행한는데 모세가 홍해를 가르는걸 보는느낌이다.전편의 액션은 투박하고 직접적이어서 좋았는데 마녀2는 닥터스트렌지 짭을 보는느낌이다 그래도 스트렌지는 손이라도 움직이면서 주문같은걸 하는데 이건머..,  걍 걸어가면 상황종료니... 오마주도 제대로 못했네요ㅋㅋ 전편액션이 그립네요ㅋㅋ"
10,오랜만에 존나재밌게봄
1,지옥에서 송강호씨 딱 한 명만 내공으로 겨우겨우 살아남았네 ㅡ.ㅡ
7,마블이 만든 로건 느낌..
10,이를 1편 제작단계부터 계획했다면 박훈정 감독은 실로 대단하네요. 1편은 그저 스타일리쉬한 B급 액션물의 느낌이었다면 2편 부터는 구성의 뼈대가 보이고 세계관의 밑그림이 살짝 보이는 느낌... 3편이후의 내용이 더더욱 기대됩니다.
10,난 좋았는데 다들 악평이 많네 ㅠㅠㅠ 저는 잔잔하고 좋았어요 여운도 많이 남았구요 감독이 일본인이셔서 그런지 한국영화보다는 일본영화 같은 느낌이 많이 나요. 그래서 평이 많이 갈리는 것일 수도..???아무튼 전 좋았어요 그리고 송강호님도 연기 좋았지만 배두나님이 연기 너무 잘하시더라구요. 잘 보고 왔습니다~
2,배항해 합성인거부터 웃기더니..심해에 잠수복하나 덜렁입고 들어가는것도 웃기더니.. 외계인인형같은 심해베이비들고 흔드는것도 웃기니
6,너무 많아진 등장인물에 앞부분은 루즈하고 많이 기다렸는데 기대를 채우지는 못했네요..3편에서 더 나은 모습 보여주실거라 생각합니다.
10,1때도 재미있게 봤는데 마녀2 역시 재미있었음
10,
10,평점 1점주는애들 보고하는건가 액션 미쳤고 배우들 연기도 잘해서 몰입감 좋아요 생각보다 피가 많이 나와서 아이와 보기에는 어렵지만 부부나 커플이서 보시면 좋을거같아요
10,"액션신은 1편과 비교가 안될정도 입니다.1편보다는 몰입감이 떨어졌으나, 충분히 훌륭하고 박수를 보냅니다."
7,기대했는데 생각보단 별로였어요 마녀 1보다 재미없었음... 그래도 재밌ㄱ 봤습니당
1,진짜 ㅈ같이재미없음 언제끝나나만 고민함
10,3편 기대되네요 서은수 배우님 연기 넘좋네요
10,김다미는 까메오 출연이고. 이쁜 배우들이 주연으로 나오다보니 언니들이 많이 불편하신 듯.  중2감성 B급액션도 장르라 1편에 이어 충분히 재밌게 봤음
5,외국어 발음들이 다 너무..ㅋㅋ 몰입깨져요ㅜ 나머진 이냥저냥 괜찮았어요 초반엔 넘 지루ㅜ 그냥 3편을 위한 영화 같아요
4,<어느 가족>의 고레에다 히로카즈의 한국영화라 더욱 실망했다.
6,초 중반 너무 지루함 반전없음 마지막 액션빼곤 기대 이하네요
8,너무 스케일을 크게 하려다 보니 조절은 난해하지만 분위기는 좋았다.
10,25살 인생 코미디 탑3안에듭니다 ㅋㅋ 재밌어요
10,1편보다 재밋네요 좀 과한 cg가 느껴졌지만스토리 다 좋았어요 이제 글로벌로나아갈거같은 느낌이 ㅎㅎㅎ 그리고 서은수님 연기잘하시네요여태까지 순한 역할만 맞으셔서 나오셨을때 깜놀...
8,"기대한만큼 실망도 생기긴했지만 재미도 있고 몰임감도 있는데, 솔직히 개인적인 생각이지만 나는 마지막 후반만 생각나요. . . .거기가 너무 뚜렷하게 생각나 정말다들 연기는 진짜 잘해요"
2,너무 재미없음 자고나옴
4,감독이 매트릭스를 많이 본느낌이 있더라적이 근처도 못오고 중국애들은 왜 차타고댕기는지 날라댕겨도 되겠더만ㅎㅎㅎ보는내내 김다미랑 신시아랑 러시아갖다놓으면 몰살하것다 생각듬
4,"마녀1 못보고 마녀2 상영하였으나...액션은 훌륭했다 그러나 전반적으로 ""에?뭐야 끝났어?내용뭐야 뭐가이래."" 였다뭔가 많이 허무하면서도 황당했던 영화"
4,진짜 이게 영화라니 액션씬리이라도 잘찍음몰라쿵푸허슬인줄
8,중국애들 연기한 애들의 발음이 구리긴 한데 (저 중문과) 김은수 배우님 영어 발음에 반했네유액션 좋아히면 함 보셔요~
8,좀 지루하네요...감동도 별로 ㅠㅠ
6,1편보다 못한 속편인물이 넘 많이 등장하지만..존재감이 미미함..이종석은 3편을 위한 보여주기식 등장? 게다가 초반부에 쓸데없는 장면이 넘 많아 전개가 지루함. 후반부에 액션이 터지긴 하나..앞의 스토리와 별개로 논다는 느낌. 전작보다 돈을 많이 써서 액션의 땟깔이 좋으나..주인공이 사실 너무 세서..치고 박고 싸운 전편의 쾌감보다 못하다. 빌런들이 뭐 주인공 근처에도 못 가니..오히려 황당함..다미는 그래도 많이 맞았는데 ㅋㅋ..뭐 여주 연기도 대사가 없고 표정은..캐릭터 자체가 각본의 실패로 정서적으로 몰입이 안됨..너무 진중함..그래도 뭐 3편을 기대하게 하는 요소는 있기에..ㅋㅋ
6,크리스프랫이랑 강형욱이랑 오버랩되는건 나만그런가요?ㅋㅋㅋ
8,"먼저 배경을 짚어보자. 마녀1편은 제작비의 한계로 마지막에만 액션을 넣을 수 있었다. 해외로케로 추진되던 2편의 투자가 무산되는 위기에서 감독은 시나리오를 소소하게 조정하며 1.5편의 느낌으로 다시 3편의 교두보를 완성해야했다. 그것도 4년의 기다림이 필요했으니 선택의 여지가 없었지.그럼에도 불구하고 마녀2의 초현실 액션과 연출, 상상력은 높이 평가할만 하다. 어벤져스가 나오기를 기대한 것은 아니잖은가? 손가락을 튕겨 우주의 절반이 사라지는 것은 받아들 일 수 있지만, 펀치로 자동차를 날려버리는 것은 인정할 수 없는 사람이라면 보지 않기를 권한다. 아, 그리고 비교적 잔인하다."
10,"신시아??, 김다미??, 액션 넘사벽. 재미있어요."
2,"하나부터 열까지 킹받는 영화치명적인척, 카리스마있는척, 힘순찐 중이병 영화임. 연기도 별로고 아무 의미도 없는 대화, 이상한 개그까지 날림 하…그냥 시간 아까우니 제발 보지마셈"
2,ㅋㅋ....보지마 제발
10,시리즈가 계속 기대됩니다. 영화내용도 시원시원하니깐 속편도 시원시원하게 바로 매년 1편씩 가시죠.
6,샘 레이미의 색깔을 MCU에 그대로 들고 오는 것 까지 좋았다. 하지만 마법사의 화려한 마법은 찾아볼 수 없는 마법 같은 영화
9,액션이 아주 훌륭합니다. 마블영화 보는줄알았음중국어 연기는 좀 아닌듯 한데.. 전체적으로 좋았습니다. 3편 마무리 기대됩니다.
10,누가5야~? 이 대사는 거북이달린다에서 먼저 나온 명대사인디?ㅋㅋ
8,중국애들 너무 빨아주네 ..
6,
9,아이들과 보기 좋습니다. 재밌게 시리즈 마무리 잘한거 같습니다.
10,초중반 영화보는동안  지루함에 하품도나왔지만 후반부 액션장면은 볼만했어요
5,음.. 이란 단어가 가장 적절한 평인거 같다
10,나도 누군가 힘들때 기댈수 있는 사람이 되고싶다
8,솔직히 구자윤 중심으로 갔으면 좋았을것을 그리고 감독 감각이 5년전에 머물러 있는거 같아서 아쉽고 마블 CG에 익숙해진 나로서는 너무 엉성하게 느껴짐 그래도 우리 다미 봤으니 8점임 ㅋㅋㅋㅋ
6,"한 아이를 키우기 위해 마을 사람들 전체가 필요하다는 말이 있다. 미숙한 엄마가 자신의 아이를 지키기 위해 어디까지 할 수 있는지, 심성은 착한 마을 사람들이 그 아이와 엄마를 위해 무엇을 해줄 수 있는지 현실성을 배제한 동화 창작은 아쉽기만 하다."
10,이런게 진짜 힐링 영화 같습니다. 박중훈배우님 최근에 안보이시던데 연기 최고~
1,마녀 1을 정말 많이 봤고마녀 2를 개봉하자마자 봤는데기대가 커서 그랬는지 마녀 1에서의액션정도를 기대했는데 갑자기 중국영화가 된것같네요..그래도 마녀3는 잘나올거라 믿고 기다리겠습니다.
1,
10,액션씬은 좋아요. 근데 억지로 웃음코드 넣은건 별루 . 그래도 김다미 나오니 ^^ 3편은 기대되요. 1편은 좋았고 2편은 약간부족  ... 엔딩크레딧 이후에 쿠키영상 나옴
10,"마녀1에 이어지는 the other one 이야기가 처음에는 뭔가 싶다가 뒤로 갈 수록 이해가 되네요.전편만큼 충격적이진 않으나, 볼만합니다.마녀3이 기대되네요. 빨리 나왔으면…"
6,지루한 감이 있지만 나름 좋은 영화
10,나 자신은 아니라고 애써 말해봐도 결국 시간이 지나고 점점 노출되는 빈도가 낮아지면 관심도가 떨어지더군요.. 이렇게 영화로 사회적 문제를 다뤄주시고 대기업의 장난질을 당할 수 밖에 없고 현실적 문제에 부딫히는 서민들의 마음을 간접적으로 알 수 있어서 좋습니다
10,"마녀1을 봤다면 확장된 세계관에 만족할것, 마녀 유니버스 확장을 위한 이야기. 액션은 더 업그레이드 됨"
8,지루한 면이 없지 않아 있었는데액션 하나만큼은 끝내줬어요:)마녀3로 가기위한 교두보
10,3편후속을기대하게만드는 궁금증
4,시즌1이 진짜 재밌었네
8,"각자 자신들의 경험, 살아온 나날들이 투영되서 인지 모르는 사람의 아이를 지키려는 모습이 비현실적으로 보이지는 않았다. 영화에는 가슴아픈 현실들이 포함되었지만 가까운 사람들에게 받지 못한 치유를 모르는 사람들로 하여금 치유되는 과정이 인상적이다."
1,"최종 편집본이 맞나 싶은 CG, X발 이라는 욕이 없으면 안되는 대사들, 담배와 양주로 이루어진 케릭터들 3가지의 하모니가 합쳐져 1편의 감독이 맞나 싶은 의혹과 세계관 확장이라는 명분 아래에 똥을 싸도 관객이 봐줄거라 생각한건가?"
1,오랜만에 친구랑 보고 왔는데 감동 포인트도 없고.. 재밌는 장면도 하나없고.. 하 친구랑 보는데 어색해서 죽을지경 ㅠㅠ  제발 보지마시길 이거 볼 빠에는 범죄도시 2 보세요 친구랑 보고 나서 아무말도 안했어요 돈 날림 ㄹㅇ 아이유 연기도 넘 어색해요.. 모든게 자연스럽지가 않음 전개도 점점 산으로감 진짜 보시면 후회함 세상 잔잔한 영화 칸 영화제 어떻게 갔지..?? 영화 보다가 자는 사람도 있었구요 화장실 들락날락 하는 사람이 대부분.. 그리고 휴대폰도 띵작이면 다들 꺼놓을텐데 재미없으니까 다들 폰만 보더라구요 ㅋㅋ... 알람 켜놓은 분도 계셨음
6,"이번편은 극장에서 안봐서 극장판에서만 볼수 있는 아동영화치고 므훗한 씬이 있었는지 알수 없지만 비디오판만 봐도 그러한 요소가 없다는 걸 알 수 있었다. 본 시리즈의 섹스어필을 담당했던 혹성국의 마녀(최은정)는 2편에서 확실히 죽은 걸로 처리되어 다른 여배우로 교체됐고.. 1,2편에선 언급조차 없던 혹성국의 여왕이 나오는데 한눈에 봐도 아지매(…) 코스츔은 검정색 레오타드에 빨간색 타이즈를 입었는데.. 지금도 아재들에게서 최은정님이 언급되는 이유인 1편의 최은정님의 황금색 하이레그 레오타드 핏이 안나온다 ㅠ 그리고 순돌이 형의 코스츔이 빨간색 레오타드와 노란색 타이즈에서 우주소년단 같은 제복으로 바뀌었음.. 그럴만 했던게 1편에서 순돌이 형이 레오타드를 입었을땐 뚱뚱해도 귀여웠는데, 2편에선 너무 쪄서 레오타드와 타이즈가 터져버릴듯한 보기 흉한 핏이었음 ㅠ 마녀.. 아니.. 여왕 쫄따구들의 코스츔은 2편과 거의 동일하나 팬티에 똑딱이 단추가 사라졌다는 차이가 있지만.. 레오타드의 팬티에 남자의 똘똘이가 꼭 끼이는 걸 감안해서 1편처럼 꼭 끼이는 피팅이 아니라 2편처럼 헐렁하게 피팅되게 디자인됐음.. 다시 말해 팬티입고 똥싼 듯한 핏(…) 그리구.. 로봇이 이번에도 도용인데 뜬금없이 자붕글을 가져왔는데 1,2편의 비룡은 어디다 팔아먹었는지 언급도 없다.. 또 혹성국은 진작에 쫄딱 망했는데 별똥왕자 납치해서 어쩌겠다는 건지도 모르겠는 플롯도 3부작 내내 동일하게 진행된다.. 어린 시절 꼴림을 선사해줬던.. 시리즈의 시그니쳐와도 같은 여자끼리의 캣파이트씬이 빠진 게 특히 아쉬웠는데.. 평범한 옷 입은 정효진님이 수영복 같은 황금색 레오타드와 검정색 타이즈를 입은 최은정님을 반듯하게 눕히고 몸위에 올라타서 전신밀착 합체하고 몸과 몸을 부벼대며 최은정님이 입은 금색 레오타드의 팬티 옆부분을 손으로 더듬다가 손가락 사이에 팬티를 끼우고 비비면서 감촉을 느꼈고 최은정님은 눈감고 효진님한테 깔려 반항없이 얌전히 누워있는.. 1편 극장판의 페티쉬 액션이 사라진게 아쉬웠다"
1,너무 별로네요 중간에 나가고 싶은 영화
10,화려한 액션씬 최고! 3편이 기다려진다.
10,어제 보고왔는데만족한다는사람  실망스럽단 사람  다 납득 할만합니당 ㅋ.ㅋ 2시간 안에 전편이랑 이어서 전개를 해야하니 좀 이해안가고 빠진거같은 부분도 있었는데 전  크게 기대안하고  가볍게 보러가서 나름 만족합니다 ㅎㅎ쓸데없이 질질끄는 장면이 좀 많습니다 ㅠ진구를 싫어하는게 아니라  진구가 그렇게 비중이 있어야하는 역할인가 싶기도하고..  좀 루즈한 장면이 시원시원한 액션씬보다 많습니당   ..   걍 가볍게들 보러가세엽   신인배우들도 볼겸 ㅎㅎ
10,3편 언제나오쥬.. 마지막 액션씬은 증말 입 벌리고 봤음
10,
10,
5,시리즈가 하고싶었나봉가
10,"액션 대만족, 새로운 얼굴들 대환영, 3편 기다림."
6,스토리에 도움 안되는장면만 1시간될듯... 마지막 20분만보면 되는영화
10,진짜 내 인생 최고의 시리즈 드래곤 길들이기2도 너무너무 재미있었다.
8,명대사 :: 준석이 아버지 초상날 염불소리.... 무상심심 미묘법 백천만겁 난조우 아금문현 득수지 원혜 여레진실의 아제아제바라아제...(해석) 끝없이 깊고깊은 미묘한 묘법을 백천만겁년이 자나도 만나기 어렵거늘 내가지금 둗고배우니원혜 여래진실한 뜻이로다....ps 한때 외웠던 개경계 ...살아계신주 나의 참된소망 근심걱정 전혀없네 사랑의주 . 성령을 안고사는 지금은 예수쟁이가 되었다. 모두들 예수믿고 천국가자... ! ..니가 믿으라면 내가믿어야 되나? 참새 ×만한 자존심 내세우지 말고 ..잘하면 천국티켓하나 줄지도모르는데..나는 갈끼다...썩은× 마이 무따 아이가...으리가 뭔지 아나? 이기바로 으린기라....자 써(무)라... 필요할끼다. ..삼촌많아도 방황하고 돌아다니는데 머르쿠는 늠이없어 .. 그때  누가 한마디 해줬음...  생각나서 ...읊어봤다. 예수쟁이가 까분다고 욕하지마라.예수믿는것 빼면 다 똑같은 죄인이다...오라잇?..
2,무슨 말투 연기 왜이럼? 보는중에 거부감 계속 드네.연기 말투 최악인듯
10,꼭!보시길 추천드립니다.
1,"최근 몇년간 최악에 연출, 스토리, 대사, 연기 뭐 하나 볼만한게 하나도 없음 쓰레기 같은 영화"
10,넘흐 재미짐
10,구자윤은 역시 구자윤이다...
10,마녀 2 박은빈 화이팅!!!
2,실망..코믹영화가 아니잖아요ㅜㅜ그런데 왜 억지웃음 포인트가 이리 많은지. 뭔가 나오겠지..기대하다가 2시간 보내고 허탈하게 나왔어요.
5,볼 거리는 좀 있지만 스토리가 별로네요
10,1재밌었으면 2도 재밌을듯
6,휴머니스트가된 셜록 전개는빠르다
1,
5,여사님의 능청스런 사악함이 와 닿지 않는다..
10,역시 기대이상 마녀3도 기대할게요
7,뭐랄까.. 1편이 진짜 놀라운 액션 같았다면.. 2편은 SF조연들 연기도 어색하고 불편했네요. 스토리도 억지로 맞춘듯 하고.. 기대를 너무 하고 본 건지. 7점이 많은 거 같은데 그렇다고 6점대는 야박해서 ..
10,"진짜 오랜만에 존잼 영화 봄,,, 손석구 부들부들떨면서 분노하는 연기 보고 진짜 ㄱh소름돋았ㄷr,, 연기 취미로하기엔 진짜 OOO기력인듯 ;;;"
1,"ㅋㅋ 나만 그지 같다고 생각한거 아니네, 한 10분 봤나? 보다 끔, 한창 넷플 돈 벌때 찍었던거라 막 찍어내던 영화같은데, 넷플 정신차리자"
7,2편부터 너무 급발진. 3편엔 원기옥 쏘고 하늘을 날아 다닐것 같음. 드래곤볼 실사판을 보고싶으셨다면 추천.
10,미친듯한 후반부 약 빨은 액션 쌍따봉!
2,중국판 파워레인저 상위호환
1,배우들 연기가 좀 아쉽습니다. 서은수는 그냥 그렇네요
2,너돈은 쓰레기통으로  던져졌다
9,역시 토이스토리.. 디즈니.. 픽사.. 그리고 버즈다. 시간이 이렇게 빨리 지나간 줄도 모르고 재밌게 봤음. 우주 공간도 몰입 잘 되고 표현도 진짜 몰입 잘 되게 섬세하게 함. 특히 고양이가 너무너무 귀엽다?? 왜 아이맥스로 안 봤지
3,영화가 허접해서 웃길려는 노력이 보인다.
2,다들 연기가…. 특히 서은수 영어할때 너무 오글거림…  김다미가 나오고 나서야 비로소야 마녀영화를 보는것같았다
6,마녀1이랑 스토리가 이어져서 비교해서 볼수밖에 없는데 기대를 너무 많이해서인지 1보다는 확실히 별로임. 주인공을 이세계 최강자로 만들어놓음 이거랑 떡밥만 뿌려놓고 끝맺임이 아쉬움
10,"1이 대박이 나서 2는 또 멋있는척 하면 어쩌지 싶었는데 감독도, 스토리도, 배우들도 자기의 역량을 잘 살려서 너무 재미있게 잘 만든거 같아요. 나쁜놈은 그냥 처맞아야돼 이런 부분도 너무 좋구요. 혼자왔어? 어 나 솔로야 - 를 이을 대사로 50대 50? 누가 50이야 만든게 보이는데 1편만큼의 임팩트는 아니었지만 어쨋든 캐릭터를 잘 살리는 대사랄까요. 정말 즐겁게 봤습니다. 3도 촬영 결정했다고 하니까 기대되네요. 부모님 모시고 가서 봤는데 두분 다 즐겁게 보셨어요! 잔인한 부분도 있지만 다들 즐겁게 봤네요"
2,"최악임 ,동성간 뭐하는짓임? 아이들 보고 충격먹음"
10,1편 안보신분들 요약본이라도 보고 가세요. 액션 대박 멋있고 3편 기대됩니다^^ 새로운 마녀도 겁나 귀염뽀짞한데 개쏌 짱쏌ㅎ 토우들도 멋있고 서은수배우님도 존멋 ㅋㅋㅋㅋ 김다미 나올떈 소름쫙 돋았어요. 글고 쿠키 완전 중요해요 꼭 보고 나오세요.
4,하... 진구 연기 진짜 이상함...
10,액션 연기 스토리 다 최고였어요!
4,영화의 주제 의식이 약하면 일어나는 이야기
4,뭐죠~?마녀3편 예고편을 길게~~돈주고본느낌이었습니다
10,믿고 보는 박훈정 감독 영화. 영화 속 액션은 마치 헐리웃 영화를 보는 듯 했다.
1,그냥 뇌절한다는 느낌 심하고 불필요한 내용 질질 끔 ㅇㅇ 그리고 질질 끈 거에 비해 결말은 허무함 반전포인트는 하나 잇음어색한 연기부분도 넘 많고 웃기려고 하는 욕심은 알겠는데 그게 너무 많고 티나니 정색하게됨 딱 두 번정도 웃은듯 전체에서
10,걸작을 왜이제야 알앗지…..  주인공역 배우 연기 너무 잘한다. 후반부에 완전 해골이던데 감량한다고 엄청 고생했뎃다 ㅠ
10,액션 스케일이 기대 이상.. 3편도 보구싶음
6,Cg가 너무 엉성해... 중2병감성도 여전히.
10,3편이 기대되는 작품 원작만큼 재밌고 몰입도가 깊었음 시간도 빨리가고 마지막 반전이 너무 재밌음
10,"너무 기다렸는데, 기다린만큼 너무 재밌게 봄.역대 모든 한국 영화중 무술팀에 가장 많은 예산을 들였다는 영화다운 액션"
10,리얼 졸 잼!!.~~~~
10,한국영화가 레벨이 이정도다!!
10,신시아 대사가 너무 없어서 아쉬웠어요
10,"재밌어요,"
1,사람들이 보지 말라는거엔 다 이유가 있다
10,난 재밌던대 2시간이 후딱
8,"외로운 보이저호의 항해에 함께할 추억, 용기, 그리고 곁에 있는 사람들을 위하여! 무모하대도 믿어 난, 나의 여정을 믿어 난!"
10,윤계상.박용우 멋있네요. 윤계상  어떤의상을 입어도 멋짐. 재미있어서 두번봄
2,마녀2
2,님아 찍느냐 고생했어요
10,50대가 되어보니 그들의 마음이 모두 이해되고 모두 함께 우성이를 지켜내어  따뜻했네요
10,액션 영화 좋아하면 무조건 보세여ㄱㄱ
10,
6,그냥 생각 없이 보기 좋았으며 유치하며 조금 오글거리는 모습도 많았고 어두운 분위기에 검은색 옷을 입혀두니 화려한 액션씬이 가려져 아쉬웠음
2,1편 때 나오던 구자연 연기가 넘 좋았어요. 액션씬도 좋았고. 2편에서는 새로운 마녀가 나오는 구나 뭔가 그 주인공이 액션적인 부분이나 그 외 감정씬에서 1편처럼 훌륭한 연기를 기대했어요. 제 기대가 넘 실망스럽습니다 .주인공의 액션 하나 없이 그저 기운만으로 눈빛만으로 주변의 사람들이 날라가는 거 보고 재미포인트를 어디서 찾아야 할지 ㅜㅜ 기대이하로 넘 실망스럽네요 가장 재밌었던게 마지막쯔음에서 구자연 나오는 씬이었을 정도로 …. 이종석은 왜 나온거죠? ㅎ 이종석이랑 차라리 마녀랑 싸우는 씬이라든가 뭔가 긴박하고 가슴졸이는 씬이 없어서 저는 평 안 좋게 썼어요 그저 컴퓨터 그래픽 같은 싸움씬. ㅜ 새로운 마녀의 활동이 없는 부분 . ㅜ 마녀1에선 그 마녀가 정말 마녀일까 싶은 생각이 들도록 보는 사람도 헷갈렸었는데…. 이건 뭐 2편에선 전혀 그런것도 없네요 이런 부분도 좀 개선이 됐었으면… 뭔가 반전이 있었으면 좋았을텐데 넘 아쉬워요 ㅜㅜㅜㅜ
7,3를 위한 밑그림을 나타낸 영화
8,내가 앤디였다면 버즈 보다는 삭스 인형을 가지고 놀았을 듯..
10,시간가는줄 모르고 봤네요 꿀잼~^^
10,기대했던대로 액션 좋네요 재미있어요 ㅎㅎ
10,김다미 너무이뻐요 너무이뻐요 짱
10,액션만큼은 기대에 어긋나지 않았던! 믿고 보는 박훈전 감독표 액션영화!
10,액션 스케일.. 맵다 매워...!!!
10,재밌어요~ 1편도 재밌지만 2편도 기대이상
10,감동과 여운이 시간이 지나도 남아 있네요. 영상미 연기 내용 모두 우수한 작품입니다.
10,이종석은 한게 없다 ㅋ조수미도 한게 없다 ㅋ김다미도 한게 없다 ㅋ나머지분들 고생하셨다일본 애니 원작 영화느낌이 강하다원펀맨급임 ㅋ 좋아하시면 추천 ㅎ
10,굿역쉬   말해 뭐해 !!! 마녀2 ?♂?  ?♀?  마녀3 기다리겠습니다^^
2,기대를 너무했나 생각보다 지루했음
10,마녀1에 이어 마녀2  대단합니다.긴강감을 늦출수없는 스토리 압도적스케일 한국액션의 최고봉
10,재미 없다고 하는 놈들은 뭘 봐야 재밌냐? 재밌기만 하구만
1,만화도 아니고 2022년 내가본 최악의 영화스토리 개쩐다 마녀3  나오면 난 안볼란다
10,매력적인 캐릭터들이 많아서 지루할틈 없이 봤던것 같습니다~ 역시 여름에는 액션이 짱
10,속편인데도 1편보다 완벽한 액션이라니 감동
6,토이스토리 4까지 완벽한 서사를 보여준 픽사였는데 굳이 이정도 퀄리티 작품을 만들려고 외전을 제작했는지 참 아쉬울 따름..물론 졸작까진 아니지만 픽사만의 독창성도 볼 수 없을뿐더러 노골적인 pc장면으로 불쾌감을 줄 수 있을듯..
4,범죄도시가 대단하다는 걸 느끼게 해 준 영화.. 다미언니 돌아와...
1,인터칸 PC방 최고네요
10,후반 액션 개잼.. 3편 기다린다
1,기대가큰만큼실망이크네요
10,역시 마녀 잘 봤습니다.
10,역시 마녀 잘 봤습니다.
10,천만 넘었길래 그냥 아무생각 없이 봄! usb에 빵 터졌다!ㅋㅋ 역시 믿고보는 동석이형~ 구씨~ 연기력 쵝오!
9,아무 생각없이 킬링타임용으로 보기 좋아요
10,너무재밋게보앗습니다 역대급입니다 와이프와 뱃속아이와함께보앗어요
10,볼만함 한국영화 잘만드네
10,남자 주인공 너무 착해..
9,액션 sg 1편처럼 감동
4,정말 오랜만에 재미없어서 중간에 졸렸던 영화입니다. 대사 자체가 어색하고 쓸데없는 18남발..재밌게 잘 만들어진 영화는 장면전환을 못느낄 정도로 몰입해서 보게 되는데 이 영화는 다 따로 노는 느낌..어떻게 시리즈로 찍으시려는지.. 감상 포인트를 뭘 골라야할지... 쿠키조차 재미없는...
8,"배우들의 연기가 매우 출중하여 연기력만으로도 볼 만한 영화라고 생각한다. 많은 평처럼 영화 내내 잔잔하지만, 대사 하나하나에 집중한다면 꽤나 몰입감있는 영화라고 생각한다."
1,진짜 최악. 재미없음.
10,최고의 여성. 동시대를 살아가서 행복합니다.
2,걍 티비에서 나오면 보세요 ㅋ1편에 감동은 1도 없음
10,액션은 진짜 짱인데...  3편을 기대하게하는 2편...
6,그냥 저냥 볼만했는데 ㅋㅋㅋ 중국어 ㅋㅋ 토우 네분다 심각 ㅋㅋㅋ
2,"2편은 3편 낚시를 위한 미끼먼가 있겠지 기대 했으나 아무것도 없는 스토리, 서은수에 발연기로 남자외국배우와의 캐미는??"
10,내용은 모르겠지만 배우분들 연기가 너무 좋았어요
10,생동감 있는 영화에요 잼나여
10,시원한 액션. 장르가 마동석~~
10,2시간이 어떻게 지나갔는지 모를 만큼 몰입해서 봤습니다~^^ 끝나고 쿠키영상까지... 1편부터 봐왔는데 3편도 기대됩니다...
10,처음부분은  지루햇으나  나중에 액션 부분이  신나서  시간 가는줄  몰랏다 ㅎㅎ  굿굿굿
10,와 기대이상이었어요 후반 액션신 미쳤어요
10,손석구에 빠졌다면 무조건 재밌게 볼 수 있는 영화
10,소름돋고 최고였다 3편도 기대중
10,액션 졸잼임 귀멸의 칼날보는줄
10,화면을 꽉 채우는 장면들과 흥미로운 스토리 전개에 쉴 틈 없이 보게 되더라구요 마지막까지 아주 재밌게 관람했습니다
10,피가 거꾸로 솟을 것 같은 조작과 폭거에도 아무렇지도 않게 흘러가는 이야기가 끝날 때 즈음에는 분노로 몸을 부들부들 떨리게 만드는 영화! 이런 일이 21세기 대한민국에서 아직도 일어난다는 사실에 치가 떨린다.
1,칸 기립박수 친거 잠 깨려고 친거 아님? 아니면 드디어 끝나서 너무 기뻤던 나머지 기립한거지
10,재밌습니다! 마녀2는 징검다리의 역할로 세계관 확장을 위한 영화인 것 같습니다. 마녀3도 기대할게요
